"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"816     (H61.8) Other specified disorders of external ear","14","12","26","0.029545454545455","0"
"817     (M75.1) Rotator cuff syndrome","14","12","26","0.029545454545455","0"
"818     (L43.9) Lichen planus, unspecified","10","16","26","0.029545454545455","0"
"819     (D21.6) Other benign neoplasm of connective and other soft tissue of trunk,","12","14","26","0.029545454545455","0"
"820     (I47.1) Supraventricular tachycardia","8","18","26","0.029545454545455","0"
"821     (B80) Enterobiasis","14","12","26","0.029545454545455","0"
"822     (H74.9) Disorder of middle ear and mastoid, unspecified","9","17","26","0.029545454545455","0"
"823     (H81.0) Meniere`s disease","12","14","26","0.029545454545455","0"
"824     (O91.2) Nonpurulent mastitis associated with childbirth","0","26","26","0.029545454545455","0"
"825     (O32.9) Maternal care for malpresentation of fetus, unspecified","0","26","26","0.029545454545455","0"
"826     (L24.9) Irritant contact dermatitis, unspecified cause","10","16","26","0.029545454545455","0"
"827     (M19.91) Arthrosis, unspecified, shouder region","11","15","26","0.029545454545455","0"
"828     (A16.7) Primary respiratory tuberculosis without mention of bacteriological or","16","10","26","0.029545454545455","0"
"829     (E44.1) Mild protein-energy malnutrition","13","13","26","0.029545454545455","0"
"830     (O20.8) Other haemorrhage in early pregnancy","1","25","26","0.029545454545455","0"
"831     (A15.1) Tuberculosis of lung, confirmed by culture only","17","9","26","0.029545454545455","0"
"832     (K42.9) Umbilical hernia without obstruction or gangrene","13","13","26","0.029545454545455","0"
"833     (D69.0) Allergic purpura","5","20","25","0.028409090909091","0"
"834     (S01.0) Open wound of scalp","11","14","25","0.028409090909091","0"
"835     (J35.8) Other chronic diseases of tonsils and adenoids","14","11","25","0.028409090909091","0"
"836     (J21.8) Acute bronchiolitis due to other specified organisms","14","11","25","0.028409090909091","0"
"837     (O36.4) Maternal care for intrauterine death","3","22","25","0.028409090909091","0"
"838     (B30.9) Viral conjunctivitis, unspecified","8","17","25","0.028409090909091","0"
"839     (R19.4) Change in bowel habit","14","11","25","0.028409090909091","0"
"840     (S80.8) Other superficial injuries of lower leg","16","9","25","0.028409090909091","0"
"841     (M54.22) Cervicalgia, cervical region","13","12","25","0.028409090909091","0"
"842     (M79.27) Neuralgia and neuritis, unspecified, ankle and foot","8","17","25","0.028409090909091","0"
"843     (P38) Omphalitis of newborn with or without mild haemorrhage","16","9","25","0.028409090909091","0"
"844     (T01.9) Multiple open wounds, unspecified","21","4","25","0.028409090909091","0"
"845     (G82.2) Paraplegia, unspecified","15","10","25","0.028409090909091","0"
"846     (H65.3) Chronic mucoid otitis media","16","9","25","0.028409090909091","0"
"847     (G40.8) Other epilepsy","13","12","25","0.028409090909091","0"
"848     (F95.9) Tic disorder, unspecified","10","15","25","0.028409090909091","0"
"849     (O22.4) Haemorrhoids in pregnancy","0","25","25","0.028409090909091","0"
"850     (F82) Specific developmental disorder of motor function","16","9","25","0.028409090909091","0"
"851     (G54.2) Cervical root disorders, not elsewhere classified","9","16","25","0.028409090909091","0"
"852     (I69.8) Sequelae of other and unspecified cerebrovascular diseases","12","13","25","0.028409090909091","0"
"853     (D68.9) Coagulation defect, unspecified","18","7","25","0.028409090909091","0"
"854     (N20.2) Calculus of kidney with calculus of ureter","12","13","25","0.028409090909091","0"
"855     (M72.57) Fasciitis, not elsewhere classified, ankle and foot","4","21","25","0.028409090909091","0"
"856     (Z01.7) Laboratory examination","6","19","25","0.028409090909091","0"
"857     (I86.1) Scrotal varices","25","0","25","0.028409090909091","0"
"858     (H16.8) Other keratitis","8","17","25","0.028409090909091","0"
"859     (H52.0) Hypermetropia","9","16","25","0.028409090909091","0"
"860     (B37.2) Candidiasis of skin and nail","11","14","25","0.028409090909091","0"
"861     (K06.0) Gingival recession","13","12","25","0.028409090909091","0"
"862     (O03.9) Spontaneous abortion, complete or unspecified, without complication","1","24","25","0.028409090909091","0"
"863     (M79.8) Other specified soft tissue disorders","7","18","25","0.028409090909091","0"
"864     (K11.9) Disease of salivary gland, unspecified","14","11","25","0.028409090909091","0"
"865     (L21.0) Seborrhoea capitis","7","18","25","0.028409090909091","0"
"866     (J32.8) Other chronic sinusitis","14","11","25","0.028409090909091","0"
"867     (M79.88) Other specified soft tissue disorders, other site","12","13","25","0.028409090909091","0"
"868     (E11.0) WARNING!!!! DIAGNOSIS INI
MASUK PROLANIS!!! Non-insulin-","9","16","25","0.028409090909091","0"
"869     (L04.8) Acute lymphadenitis of other sites","7","18","25","0.028409090909091","0"
"870     (D33.2) Benign neoplasm of brain, unspecified","3","21","24","0.027272727272727","0"
"871     (R50.2) Drug-induced fever","13","11","24","0.027272727272727","0"
"872     (K81.9) Cholecystitis, unspecified","10","14","24","0.027272727272727","0"
"873     (N43.3) Hydrocele, unspecified","24","0","24","0.027272727272727","0"
"874     (N63) Unspecified lump in breast","2","22","24","0.027272727272727","0"
"875     (I12.0) Hypertensive renal disease with renal failure","9","15","24","0.027272727272727","0"
"876     (F45.9) Somatoform disorder, unspecified","11","13","24","0.027272727272727","0"
"877     (K06.8) Other specified disorders of gingiva and edentulous alveolar ridge","13","11","24","0.027272727272727","0"
"878     (H59.9) Postprocedural disorder of eye and adnexa, unspecified","13","11","24","0.027272727272727","0"
"879     (C54.1) Malignant neoplasm of endometrium","0","24","24","0.027272727272727","0"
"880     (R10.2) Pelvic and perineal pain","9","15","24","0.027272727272727","0"
"881     (Q02) Microcephaly","9","15","24","0.027272727272727","0"
"882     (N28.1) Cyst of kidney, acquired","9","15","24","0.027272727272727","0"
"883     (Z24.5) Need for immunization against rubella alone","9","15","24","0.027272727272727","0"
"884     (G45.9) Transient cerebral ischaemic attack, unspecified","14","10","24","0.027272727272727","0"
"885     (B76.9) Hookworm disease, unspecified","7","17","24","0.027272727272727","0"
"886     (S81.8) Open wound of other parts of lower leg","15","9","24","0.027272727272727","0"
"887     (R22.2) Localized swelling, mass and lump, trunk","10","14","24","0.027272727272727","0"
"888     (D17.0) Benign lipomatous neoplasm of skin and subcutaneous tissue of head,","14","10","24","0.027272727272727","0"
"889     (L90.5) Scar conditions and fibrosis of skin","14","10","24","0.027272727272727","0"
"890     (N80.0) Endometriosis of uterus","0","24","24","0.027272727272727","0"
"891     (D06.9) Carcinoma in situ of cervix, unspecified","0","24","24","0.027272727272727","0"
"892     (R02) Gangrene, not elsewhere classified","14","10","24","0.027272727272727","0"
"893     (A53.0) Latent syphilis, unspecified as early or late","21","3","24","0.027272727272727","0"
"894     (H04.0) Dacryoadenitis","9","15","24","0.027272727272727","0"
"895     (L13.0) Dermatitis herpetiformis","7","17","24","0.027272727272727","0"
"896     (B09) Unspecified viral infection characterized by skin and mucous","13","11","24","0.027272727272727","0"
"897     (E78.1) Pure hyperglyceridaemia","13","10","23","0.026136363636364","0"
"898     (Z35.8) Supervision of other high-risk pregnancies","0","23","23","0.026136363636364","0"
"899     (W53) Bitten by rat","13","10","23","0.026136363636364","0"
"900     (Z27.2) Need for immunization against diphtheria-tetanus-pertussis with","14","9","23","0.026136363636364","0"
"901     (F41.2) Mixed anxiety and depressive disorder","6","17","23","0.026136363636364","0"
"902     (G90.0) Idiopathic peripheral autonomic neuropathy","9","14","23","0.026136363636364","0"
"903     (B02.2) Zoster with other nervous system involvement","10","13","23","0.026136363636364","0"
"904     (N76.8) Other specified inflammation of vagina and vulva","0","23","23","0.026136363636364","0"
"905     (R99) Other ill-defined and unspecified causes of mortality","11","12","23","0.026136363636364","0"
"906     (G54.0) Brachial plexus disorders","7","16","23","0.026136363636364","0"
"907     (L24.5) Irritant contact dermatitis due to other chemical products","11","12","23","0.026136363636364","0"
"908     (A46) Erysipelas","19","4","23","0.026136363636364","0"
"909     (I25.8) Other forms of chronic ischaemic heart disease","6","17","23","0.026136363636364","0"
"910     (H53.0) Amblyopia ex anopsia","14","9","23","0.026136363636364","0"
"911     (B06.9) Rubella without complication","8","15","23","0.026136363636364","0"
"912     (Z03.2) Observation for suspected mental and behavioural disorders","9","14","23","0.026136363636364","0"
"913     (F81.9) Developmental disorder of scholastic skills, unspecified","13","10","23","0.026136363636364","0"
"914     (G62.8) Other specified polyneuropathies","7","16","23","0.026136363636364","0"
"915     (H50.9) Strabismus, unspecified","11","11","22","0.025","0"
"916     (R52.2) Other chronic pain","8","14","22","0.025","0"
"917     (O86.2) Urinary tract infection following delivery","6","16","22","0.025","0"
"918     (A06.9) Amoebiasis, unspecified","10","12","22","0.025","0"
"919     (D26.7) Other benign neoplasm of other parts of uterus","0","22","22","0.025","0"
"920     (F51.0) Nonorganic insomnia","9","13","22","0.025","0"
"921     (N48.8) Other specified disorders of penis","22","0","22","0.025","0"
"922     (C34.9) Malignant neoplasm of bronchus or lung, unspecified","11","11","22","0.025","0"
"923     (E28.2) Polycystic ovarian syndrome","0","22","22","0.025","0"
"924     (Y03) Assault by crashing of motor vehicle","15","7","22","0.025","0"
"925     (I21.3) Acute transmural myocardial infarction of unspecified site","11","11","22","0.025","0"
"926     (B08.1) Molluscum contagiosum","11","11","22","0.025","0"
"927     (F03) Unspecified dementia","11","11","22","0.025","0"
"928     (K06.9) Disorder of gingiva and edentulous alveolar ridge, unspecified","7","15","22","0.025","0"
"929     (S05.1) Contusion of eyeball and orbital tissues","12","10","22","0.025","0"
"930     (O05.4) Other abortion, incomplete, without complication","0","22","22","0.025","0"
"931     (S60.1) Contusion of finger(s) with damage to nail","13","9","22","0.025","0"
"932     (T17.1) Foreign body in nostril","12","10","22","0.025","0"
"933     (A17.0) Tuberculous meningitis","21","1","22","0.025","0"
"934     (D27) Benign neoplasm of ovary","1","21","22","0.025","0"
"935     (K07.4) Malocclusion, unspecified","7","15","22","0.025","0"
"936     (Z41.2) Routine and ritual circumcision","21","1","22","0.025","0"
"937     (K00.7) Teething syndrome","14","8","22","0.025","0"
"938     (M54.3) Sciatica","11","11","22","0.025","0"
"939     (A54.8) Other gonococcal infections","21","1","22","0.025","0"
"940     (F29) Unspecified nonorganic psychosis","8","13","21","0.023863636363636","0"
"941     (R63.3) Feeding difficulties and mismanagement","11","10","21","0.023863636363636","0"
"942     (M15.0) Primary generalized (osteo) arthrosis","6","15","21","0.023863636363636","0"
"943     (S99.8) Other specified injuries of ankle and foot","16","5","21","0.023863636363636","0"
"944     (S50.9) Superficial injury of forearm, unspecified","14","7","21","0.023863636363636","0"
"945     (N13.3) Other and unspecified hydronephrosis","3","18","21","0.023863636363636","0"
"946     (O00.9) Ectopic pregnancy, unspecified","0","21","21","0.023863636363636","0"
"947     (L40.0) Psoriasis vulgaris","8","13","21","0.023863636363636","0"
"948     (M89.49) Other hypertrophic osteoarthropathy, site unspecified","9","12","21","0.023863636363636","0"
"949     (K31.8) Other specified diseases of stomach and duodenum","3","18","21","0.023863636363636","0"
"950     (S02.51) Fracture of tooth, open","10","11","21","0.023863636363636","0"
"951     (B20.1) HIV disease resulting in other bacterial infections","13","8","21","0.023863636363636","0"
"952     (J21.0) Acute bronchiolitis due to respiratory syncytial virus","14","7","21","0.023863636363636","0"
"953     (R22.4) Localized swelling, mass and lump, lower limb","7","14","21","0.023863636363636","0"
"954     (N28.8) Other specified disorders of kidney and ureter","11","10","21","0.023863636363636","0"
"955     (H52.2) Astigmatism","8","13","21","0.023863636363636","0"
"956     (H43.8) Other disorders of vitreous body","13","8","21","0.023863636363636","0"
"957     (H65.4) Other chronic nonsuppurative otitis media","9","12","21","0.023863636363636","0"
"958     (K00.1) Supernumerary teeth","14","7","21","0.023863636363636","0"
"959     (W01) Fall on same level from slipping, tripping and stumbling causing","6","15","21","0.023863636363636","0"
"960     (S91.1) Open wound of toe(s) without damage to nail","15","6","21","0.023863636363636","0"
"961     (J91) Pleural effusion in conditions classified elsewhere","8","13","21","0.023863636363636","0"
"962     (M51.3) Other specified intervertebral disc degeneration","4","17","21","0.023863636363636","0"
"963     (D53.9) Nutritional anaemia, unspecified","2","19","21","0.023863636363636","0"
"964     (F90.0) Disturbance of activity and attention","18","3","21","0.023863636363636","0"
"965     (M17.1) Other primary gonarthrosis","9","12","21","0.023863636363636","0"
"966     (K37) Unspecified appendicitis","5","16","21","0.023863636363636","0"
"967     (N62) Hypertrophy of breast","14","7","21","0.023863636363636","0"
"968     (P95) Fetal death of unspecified cause","0","21","21","0.023863636363636","0"
"969     (Z20.3) Contact with and exposure to rabies","10","11","21","0.023863636363636","0"
"970     (S01.8) Open wound of other parts of head","13","8","21","0.023863636363636","0"
"971     (V29.9) Motorcycle rider [any] injured in unspecified traffic accident","13","8","21","0.023863636363636","0"
"972     (I61.9) Intracerebral haemorrhage, unspecified","9","12","21","0.023863636363636","0"
"973     (L89) Decubitus ulcer","9","12","21","0.023863636363636","0"
"974     (Z09.4) Follow-up examination after treatment of fracture","9","12","21","0.023863636363636","0"
"975     (H35.0) Background retinopathy and retinal vascular changes","6","15","21","0.023863636363636","0"
"976     (H92.2) Otorrhagia","12","8","20","0.022727272727273","0"
"977     (O06.4) Unspecified abortion, incomplete, without complication","0","20","20","0.022727272727273","0"
"978     (N48.1) Balanoposthitis","20","0","20","0.022727272727273","0"
"979     (I84.3) External thrombosed haemorrhoids","8","12","20","0.022727272727273","0"
"980     (H43.3) Other vitreous opacities","15","5","20","0.022727272727273","0"
"981     (J09) Influenza due to identified avian infliuenza virus","8","12","20","0.022727272727273","0"
"982     (H01.8) Other specified inflammation of eyelid","7","13","20","0.022727272727273","0"
"983     (K27.7) Peptic ulcer, chronic without haemorrhage or perforation","3","17","20","0.022727272727273","0"
"984     (M43.6) Torticollis","5","15","20","0.022727272727273","0"
"985     (K11.8) Other diseases of salivary glands","10","10","20","0.022727272727273","0"
"986     (N13.2) Hydronephrosis with renal and ureteral calculous obstruction","6","14","20","0.022727272727273","0"
"987     (Z97.5) Presence of (intrauterine) contraceptive device","0","20","20","0.022727272727273","0"
"988     (G44.1) Vascular headache, not elsewhere classified","6","14","20","0.022727272727273","0"
"989     (T78.3) Angioneurotic oedema","8","12","20","0.022727272727273","0"
"990     (H66.2) Chronic atticoantral suppurative otitis media","5","15","20","0.022727272727273","0"
"991     (B90.8) Sequelae of tuberculosis of other organs","9","11","20","0.022727272727273","0"
"992     (L75.2) Apocrine miliaria","9","11","20","0.022727272727273","0"
"993     (F41.8) Other specified anxiety disorders","1","19","20","0.022727272727273","0"
"994     (N94.1) Dyspareunia","0","20","20","0.022727272727273","0"
"995     (E05.0) Thyrotoxicosis with diffuse goitre","5","15","20","0.022727272727273","0"
"996     (I84.0) Internal thrombosed haemorrhoids","11","9","20","0.022727272727273","0"
"997     (D05.9) Carcinoma in situ of breast, unspecified","0","20","20","0.022727272727273","0"
"998     (Z47.8) Other specified orthopaedic follow-up care","8","12","20","0.022727272727273","0"
"999     (H02.4) Ptosis of eyelid","7","12","19","0.021590909090909","0"
"1,0      (N13.1) Hydronephrosis with ureteral 
00       stricture, not elsewhere classified","16","3","19","0.021590909090909","0"
"1,0      (F84.0) Childhood autism 
01","18","1","19","0.021590909090909","0"
"1,0      (O42.0) Premature rupture of
02       membranes, onset of labour within 24","1","18","19","0.021590909090909","0"
"1,0      (G59.0) Diabetic mononeuropathy 
03","6","13","19","0.021590909090909","0"
"1,0      (K59.8) Other specified functional 04       intestinal disorders","6","13","19","0.021590909090909","0"
"1,0      (R90.0) Intracranial space-occupying 05       lesion","9","10","19","0.021590909090909","0"
"1,0      (H18.9) Disorder of cornea, unspecified 06","11","8","19","0.021590909090909","0"
"1,0      (H35.8) Other specified retinal disorders 07","13","6","19","0.021590909090909","0"
"1,0      (L88) Pyoderma gangrenosum 08","12","7","19","0.021590909090909","0"
"1,0      (L27.1) Localized skin eruption due to 09       drugs and medicaments","10","9","19","0.021590909090909","0"
"1,0      (H59.8) Other postprocedural disorders
10       of eye and adnexa","8","11","19","0.021590909090909","0"
"1,0      (M54.12) Radiculopathy, cervical region 11","6","13","19","0.021590909090909","0"
"1,0      (C92.1) Chronic myeloid leukaemia 12","17","2","19","0.021590909090909","0"
"1,0      (H93.8) Other specified disorders of ear 13","5","14","19","0.021590909090909","0"
"1,0      (M25.59) Pain in joint, unspecified site 14","7","12","19","0.021590909090909","0"
"1,0      (E79.8) Other disorders of purine and
15       pyrimidine metabolism","7","12","19","0.021590909090909","0"
"1,0      (Q54.9) Hypospadias, unspecified 16","19","0","19","0.021590909090909","0"
"1,0      (B34.0) Adenovirus infection,
17       unspecified","5","14","19","0.021590909090909","0"
"1,0      (E07.8) Other specified disorders of
18       thyroid","3","16","19","0.021590909090909","0"
"1,0      (S20.2) Contusion of thorax 
19","12","7","19","0.021590909090909","0"
"1,0      (E06.9) Thyroiditis, unspecified 
20","10","9","19","0.021590909090909","0"
"1,0      (D21.2) Other benign neoplasm of
21       connective and other soft tissue of lower","7","11","18","0.020454545454545","0"
"1,0      (Z04.3) Examination and observation
22       following other accident","15","3","18","0.020454545454545","0"
"1,0      (D21.1) Other benign neoplasm of
23       connective and other soft tissue of upper","8","10","18","0.020454545454545","0"
"1,0      (L40.8) Other psoriasis 
24","9","9","18","0.020454545454545","0"
"1,0      (N51.2) Balanitis in diseases classified
25       elsewhere","17","1","18","0.020454545454545","0"
"1,0      (R00.8) Other and unspecified
26       abnormalities of heart beat","4","14","18","0.020454545454545","0"
"1,0      (O02.9) Abnormal product of conception,
27       unspecified","1","17","18","0.020454545454545","0"
"1,0      (N39.4) Other specified urinary
28       incontinence","11","7","18","0.020454545454545","0"
"1,0      (M13.0) Polyarthritis, unspecified 29","6","12","18","0.020454545454545","0"
"1,0      (Z01.4) Gynaecological examination
30       (general) (routine)","0","18","18","0.020454545454545","0"
"1,0      (M35.3) Polymyalgia rheumatica 31","6","12","18","0.020454545454545","0"
"1,0      (N21.0) Calculus in bladder 32","13","5","18","0.020454545454545","0"
"1,0      (M50.8) Other cervical disc disorders 33","6","12","18","0.020454545454545","0"
"1,0      (L27.0) Generalized skin eruption due to
34       drugs and medicaments","10","8","18","0.020454545454545","0"
"1,0      (G47.8) Other sleep disorders 35","10","8","18","0.020454545454545","0"
"1,0      (V29.3) Motorcycle rider [any] injured in
36       unspecified nontraffic accident","14","4","18","0.020454545454545","0"
"1,0      (H26.2) Complicated cataract 37","10","8","18","0.020454545454545","0"
"1,0      (A69.0) Necrotizing ulcerative stomatitis 38","8","10","18","0.020454545454545","0"
"1,0      (K60.3) Anal fistula 39","14","4","18","0.020454545454545","0"
"1,0      (L27.2) Dermatitis due to ingested food 40","3","15","18","0.020454545454545","0"
"1,0      (S05.0) Injury of conjunctiva and corneal
41       abrasion without mention of foreign body","15","3","18","0.020454545454545","0"
"1,0      (H27.9) Disorder of lens, unspecified 42","7","11","18","0.020454545454545","0"
"1,0      (D75.2) Essential thrombocytosis 43","5","13","18","0.020454545454545","0"
"1,0      (C50.0) Malignant neoplasm of nipple
44       and areola","0","17","17","0.019318181818182","0"
"1,0      (T00.9) Multiple superficial injuries,
45       unspecified","14","3","17","0.019318181818182","0"
"1,0      (J98.4) Other disorders of lung 46","6","11","17","0.019318181818182","0"
"1,0      (J34.2) Deviated nasal septum 47","10","7","17","0.019318181818182","0"
"1,0      (O11) Pre-existing hypertensive disorder
48       with superimposed proteinuria","0","17","17","0.019318181818182","0"
"1,0      (O10.3) Pre-existing hypertensive heart
49       and renal disease complicating","0","17","17","0.019318181818182","0"
"1,0      (N28.9) Disorder of kidney and ureter,
50       unspecified","6","11","17","0.019318181818182","0"
"1,0      (E63.8) Other specified nutritional
51       deficiencies","9","8","17","0.019318181818182","0"
"1,0      (B18.8) Other chronic viral hepatitis 52","14","3","17","0.019318181818182","0"
"1,0      (R43.2) Parageusia
53","9","8","17","0.019318181818182","0"
"1,0      (S02.50) Fracture of tooth, closed 54","12","5","17","0.019318181818182","0"
"1,0      (E10.4) Insulin-dependent diabetes
55       mellitus with neurological complications","9","8","17","0.019318181818182","0"
"1,0      (K58.0) Irritable bowel syndrome with
56       diarrhoea","6","11","17","0.019318181818182","0"
"1,0      (O90.0) Disruption of caesarean section
57       wound","0","17","17","0.019318181818182","0"
"1,0      (N22.8) Calculus of urinary tract in other
58       diseases classified elsewhere","8","9","17","0.019318181818182","0"
"1,0      (M19.98) Arthrosis, unspecified, other
59       sites","2","15","17","0.019318181818182","0"
"1,0      (K56.7) Ileus, unspecified 60","11","6","17","0.019318181818182","0"
"1,0      (G56.9) Mononeuropathy of upper limb,
61       unspecified","6","11","17","0.019318181818182","0"
"1,0      (G51.8) Other disorders of facial nerve 62","4","13","17","0.019318181818182","0"
"1,0      (I67.9) Cerebrovascular disease,
63       unspecified","9","8","17","0.019318181818182","0"
"1,0      (N60.8) Other benign mammary
64       dysplasias","0","17","17","0.019318181818182","0"
"1,0      (L23.6) Allergic contact dermatitis due to
65       food in contact with skin","9","8","17","0.019318181818182","0"
"1,0      (N85.1) Endometrial adenomatous
66       hyperplasia","0","17","17","0.019318181818182","0"
"1,0      (M79.97) Soft tissue disorder,
67       unspecified, ankle and foot","12","5","17","0.019318181818182","0"
"1,0      (D34) Benign neoplasm of thyroid gland 68","3","14","17","0.019318181818182","0"
"1,0      (A18.3) Tuberculosis of intestines,
69       peritoneum and mesenteric glands","7","9","16","0.018181818181818","0"
"1,0      (S93.4) Sprain and strain of ankle 70","9","7","16","0.018181818181818","0"
"1,0      (L03.3) Cellulitis of trunk 71","10","6","16","0.018181818181818","0"
"1,0      (S30.9) Superficial injury of abdomen,
72       lower back and pelvis, part unspecified","10","6","16","0.018181818181818","0"
"1,0      (E04.8) Other specified nontoxic goitre 73","0","16","16","0.018181818181818","0"
"1,0      (K80.4) Calculus of bile duct with
74       cholecystitis","2","14","16","0.018181818181818","0"
"1,0      (H92.1) Otorrhoea
75","10","6","16","0.018181818181818","0"
"1,0      (T18.9) Foreign body in alimentary tract,
76       part unspecified","7","9","16","0.018181818181818","0"
"1,0      (S43.0) Dislocation of shoulder joint 77","6","10","16","0.018181818181818","0"
"1,0      (R30.9) Painful micturition, unspecified 78","9","7","16","0.018181818181818","0"
"1,0      (Q43.1) Hirschsprung`s disease 79","5","11","16","0.018181818181818","0"
"1,0      (I24.8) Other forms of acute ischaemic
80       heart disease","5","11","16","0.018181818181818","0"
"1,0      (I13.2) Hypertensive heart and renal
81       disease with both (congestive) heart","5","11","16","0.018181818181818","0"
"1,0      (D23.2) Other benign neoplasm of skin
82       of ear and external auricular canal","14","2","16","0.018181818181818","0"
"1,0      (K03.0) Excessive attrition of teeth 83","8","8","16","0.018181818181818","0"
"1,0      (S61.8) Open wound of other parts of
84       wrist and hand","11","5","16","0.018181818181818","0"
"1,0      (T13.1) Open wound of lower limb, level
85       unspecified","12","4","16","0.018181818181818","0"
"1,0      (Q25.0) Patent ductus arteriosus 86","6","10","16","0.018181818181818","0"
"1,0      (K62.0) Anal polyp 87","10","6","16","0.018181818181818","0"
"1,0      (G40.0) Localization-related (focal)
88       (partial) idiopathic epilepsy and epileptic","7","9","16","0.018181818181818","0"
"1,0      (M79.47) Hypertrophy of (infrapatellar)
89       fat pad, ankle and foot","3","13","16","0.018181818181818","0"
"1,0      (A75.9) Typhus fever, unspecified 90","7","9","16","0.018181818181818","0"
"1,0      (D36.7) Benign neoplasm of other
91       specified sites","8","8","16","0.018181818181818","0"
"1,0      (K63.9) Disease of intestine, unspecified 92","6","10","16","0.018181818181818","0"
"1,0      (J15.8) Other bacterial pneumonia 93","13","3","16","0.018181818181818","0"
"1,0      (R34) Anuria and oliguria 94","12","4","16","0.018181818181818","0"
"1,0      (F32.8) Other depressive episodes 95","9","7","16","0.018181818181818","0"
"1,0      (E88.2) Lipomatosis, not elsewhere
96       classified","8","8","16","0.018181818181818","0"
"1,0      (H15.8) Other disorders of sclera 97","7","9","16","0.018181818181818","0"
"1,0      (J32.0) Chronic maxillary sinusitis 98","11","5","16","0.018181818181818","0"
"1,0      (O24.4) Diabetes mellitus arising in
99       pregnancy","0","16","16","0.018181818181818","0"
"1,1      (N90.4) Leukoplakia of vulva 00","0","16","16","0.018181818181818","0"
"1,1      (N04.8) Nephrotic syndrome, other 01","9","7","16","0.018181818181818","0"
"1,1      (H02.0) Entropion and trichiasis of eyelid 02","7","9","16","0.018181818181818","0"
"1,1      (M79.89) Other specified soft tissue 03       disorders, site unspecified","6","10","16","0.018181818181818","0"
"1,1      (M19.95) Arthrosis, unspecified, pelvic 04       and thigh","6","10","16","0.018181818181818","0"
"1,1      (S82.9) Fracture of lower leg, part 05       unspecified","10","6","16","0.018181818181818","0"
"1,1      (S42.00) Fracture of clavicle, closed 06","13","3","16","0.018181818181818","0"
"1,1      (S00.7) Multiple superficial injuries of 07       head","10","6","16","0.018181818181818","0"
"1,1      (K27.3) Peptic ulcer, acute without 08       haemorrhage or perforation","8","8","16","0.018181818181818","0"
"1,1      (R63.8) Other symptoms and signs 09       concerning food and fluid intake","12","4","16","0.018181818181818","0"
"1,1      (L98.6) Other infiltrative disorders of skin
10       and subcutaneous tissue","13","3","16","0.018181818181818","0"
"1,1      (L29.2) Pruritus vulvae 11","0","16","16","0.018181818181818","0"
"1,1      (O10.4) Pre-existing secondary
12       hypertension complicating pregnancy,","0","16","16","0.018181818181818","0"
"1,1      (L81.0) Postinflammatory
13       hyperpigmentation","7","9","16","0.018181818181818","0"
"1,1      (R62.8) Other lack of expected normal
14       physiological development","11","5","16","0.018181818181818","0"
"1,1      (S00.1) Contusion of eyelid and
15       periocular area","8","8","16","0.018181818181818","0"
"1,1      (M32.1) Systemic lupus erythematosus
16       with organ or system involvement","0","16","16","0.018181818181818","0"
"1,1      (B34.8) Other viral infections of
17       unspecified site","6","9","15","0.017045454545455","0"
"1,1      (N77.8) Vulvovaginal ulceration and
18       inflammation in other diseases classified","0","15","15","0.017045454545455","0"
"1,1      (M19.93) Arthrosis, unspecified, forearm 19","4","11","15","0.017045454545455","0"
"1,1      (L50.6) Contact urticaria 20","8","7","15","0.017045454545455","0"
"1,1      (I49.8) Other specified cardiac
21       arrhythmias","5","10","15","0.017045454545455","0"
"1,1      (R22.7) Localized swelling, mass and
22       lump, multiple sites","4","11","15","0.017045454545455","0"
"1,1      (D46.9) Myelodysplastic syndrome,
23       unspecified","1","14","15","0.017045454545455","0"
"1,1      (G53.0) Postzoster neuralgia 24","5","10","15","0.017045454545455","0"
"1,1      (Z08.9) Follow-up examination after
25       unspecified treatment for malignant","0","15","15","0.017045454545455","0"
"1,1      (Z01.8) Other specified special
26       examinations","5","10","15","0.017045454545455","0"
"1,1      (N80.1) Endometriosis of ovary 27","1","14","15","0.017045454545455","0"
"1,1      (Q21.3) Tetralogy of Fallot 28","14","1","15","0.017045454545455","0"
"1,1      (G57.9) Mononeuropathy of lower limb,
29       unspecified","8","7","15","0.017045454545455","0"
"1,1      (L72.9) Follicular cyst of skin and
30       subcutaneous tissue, unspecified","7","8","15","0.017045454545455","0"
"1,1      (K92.9) Disease of digestive system,
31       unspecified","3","12","15","0.017045454545455","0"
"1,1      (N00.9) Acute nephritic syndrome,
32       unspecified","5","10","15","0.017045454545455","0"
"1,1      (N81.9) Female genital prolapse,
33       unspecified","0","14","14","0.015909090909091","0"
"1,1      (D17.1) Benign lipomatous neoplasm of
34       skin and subcutaneous tissue of trunk","9","6","15","0.017045454545455","0"
"1,1      (K06.1) Gingival enlargement 35","6","9","15","0.017045454545455","0"
"1,1      (O32.5) Maternal care for multiple
36       gestation with malpresentation of one","0","15","15","0.017045454545455","0"
"1,1      (N39.3) Stress incontinence 37","9","6","15","0.017045454545455","0"
"1,1      (T21.2) Burn of second degree of trunk 38","5","10","15","0.017045454545455","0"
"1,1      (T81.4) Infection following a procedure,
39       not elsewhere classified","3","12","15","0.017045454545455","0"
"1,1      (S80.0) Contusion of knee 40","9","6","15","0.017045454545455","0"
"1,1      (J45.0) Predominantly allergic asthma 41","5","10","15","0.017045454545455","0"
